Category,Subcategory,Parameter,Parameter_ID,Unit,Requirement,Requirement_Min,Requirement_Max,Preferred_Value,Comparison_Type,Weight,Critical,Vendor,Model,Vendor_Value,Test_Condition,Source,Source_Date,Remarks
Basic Configuration,Type,PCS Type,P001,,Central/String,,,,Text,2,NO,DemoVolt PCS-A,DV-2500-L,Central,,Sample/Demo,8/1/2026,DEMO DATA — not real specs
Basic Configuration,Type,PCS Type,P001,,Central/String,,,,Text,2,NO,GridCore PCS-B,GC-2500-A,Central,,Sample/Demo,8/1/2026,DEMO DATA — not real specs
Basic Configuration,Type,PCS Type,P001,,Central/String,,,,Text,2,NO,PowerStack PCS-C,PS-2200-L,String,,Sample/Demo,8/1/2026,DEMO DATA — not real specs
Basic Configuration,Type,PCS Architecture,P002,,Modular preferred,,,,Text,2,NO,DemoVolt PCS-A,DV-2500-L,Modular,,Sample/Demo,8/1/2026,DEMO DATA — not real specs
Basic Configuration,Type,PCS Architecture,P002,,Modular preferred,,,,Text,2,NO,GridCore PCS-B,GC-2500-A,Modular,,Sample/Demo,8/1/2026,DEMO DATA — not real specs
Basic Configuration,Type,PCS Architecture,P002,,Modular preferred,,,,Text,2,NO,PowerStack PCS-C,PS-2200-L,Modular,,Sample/Demo,8/1/2026,DEMO DATA — not real specs
Basic Configuration,Power,Rated Power,P003,kW,≥ 2500,2500,,2500,Higher_Better,5,YES,DemoVolt PCS-A,DV-2500-L,2500,,Sample/Demo,8/1/2026,DEMO DATA — not real specs
Basic Configuration,Power,Rated Power,P003,kW,≥ 2500,2500,,2500,Higher_Better,5,YES,GridCore PCS-B,GC-2500-A,2500,,Sample/Demo,8/1/2026,DEMO DATA — not real specs
Basic Configuration,Power,Rated Power,P003,kW,≥ 2500,2500,,2500,Higher_Better,5,YES,PowerStack PCS-C,PS-2200-L,2200,,Sample/Demo,8/1/2026,DEMO DATA — not real specs
Basic Configuration,Power,Maximum Power,P004,kW,≥ 2500,2500,,,Higher_Better,3,NO,DemoVolt PCS-A,DV-2500-L,2750,,Sample/Demo,8/1/2026,DEMO DATA — not real specs
Basic Configuration,Power,Maximum Power,P004,kW,≥ 2500,2500,,,Higher_Better,3,NO,GridCore PCS-B,GC-2500-A,2600,,Sample/Demo,8/1/2026,DEMO DATA — not real specs
Basic Configuration,Power,Maximum Power,P004,kW,≥ 2500,2500,,,Higher_Better,3,NO,PowerStack PCS-C,PS-2200-L,2400,,Sample/Demo,8/1/2026,DEMO DATA — not real specs
Basic Configuration,Power,Continuous Power,P005,kW,≥ 2500,2500,,,Higher_Better,3,NO,DemoVolt PCS-A,DV-2500-L,2500,,Sample/Demo,8/1/2026,DEMO DATA — not real specs
Basic Configuration,Power,Continuous Power,P005,kW,≥ 2500,2500,,,Higher_Better,3,NO,GridCore PCS-B,GC-2500-A,2500,,Sample/Demo,8/1/2026,DEMO DATA — not real specs
Basic Configuration,Power,Continuous Power,P005,kW,≥ 2500,2500,,,Higher_Better,3,NO,PowerStack PCS-C,PS-2200-L,2200,,Sample/Demo,8/1/2026,DEMO DATA — not real specs
Basic Configuration,Config,Modular/Standalone,P006,,Modular,,,,Text,2,NO,DemoVolt PCS-A,DV-2500-L,Modular,,Sample/Demo,8/1/2026,DEMO DATA — not real specs
Basic Configuration,Config,Modular/Standalone,P006,,Modular,,,,Text,2,NO,GridCore PCS-B,GC-2500-A,Modular,,Sample/Demo,8/1/2026,DEMO DATA — not real specs
Basic Configuration,Config,Modular/Standalone,P006,,Modular,,,,Text,2,NO,PowerStack PCS-C,PS-2200-L,Modular,,Sample/Demo,8/1/2026,DEMO DATA — not real specs
Basic Configuration,Config,Number of Power Modules,P007,nos,,,,,Higher_Better,1,NO,DemoVolt PCS-A,DV-2500-L,,,,,Data Pending
Basic Configuration,Config,Number of Power Modules,P007,nos,,,,,Higher_Better,1,NO,GridCore PCS-B,GC-2500-A,,,,,Data Pending
Basic Configuration,Config,Number of Power Modules,P007,nos,,,,,Higher_Better,1,NO,PowerStack PCS-C,PS-2200-L,,,,,Data Pending
Basic Configuration,Config,Parallel PCS Capability,P008,,YES,,,,Boolean,3,NO,DemoVolt PCS-A,DV-2500-L,YES,,Sample/Demo,8/1/2026,DEMO DATA — not real specs
Basic Configuration,Config,Parallel PCS Capability,P008,,YES,,,,Boolean,3,NO,GridCore PCS-B,GC-2500-A,YES,,Sample/Demo,8/1/2026,DEMO DATA — not real specs
Basic Configuration,Config,Parallel PCS Capability,P008,,YES,,,,Boolean,3,NO,PowerStack PCS-C,PS-2200-L,YES,,Sample/Demo,8/1/2026,DEMO DATA — not real specs
