Category,Subcategory,Parameter,Parameter_ID,Unit,Requirement,Requirement_Min,Requirement_Max,Preferred_Value,Comparison_Type,Weight,Critical,Vendor,Model,Vendor_Value,Test_Condition,Source,Source_Date,Remarks
Basic Configuration,Type,PCS Type,P001,,Central/String,,,,Text,2,NO,Hopewind,Central PCS,,,,,Data Pending
Basic Configuration,Type,PCS Type,P001,,Central/String,,,,Text,2,NO,Hoymiles,HPCS2500-E-S,,,,,Data Pending
Basic Configuration,Type,PCS Type,P001,,Central/String,,,,Text,2,NO,Sineng,EH-1250/1725-HC/HB-UD,,,,,Data Pending
Basic Configuration,Type,PCS Type,P001,,Central/String,,,,Text,2,NO,FIMER,PVS980-58BC 2500kVA,,,,,Data Pending
Basic Configuration,Type,PCS Type,P001,,Central/String,,,,Text,2,NO,Inovance,IES920-07-2500-C-D-EU,,,,,Data Pending
Basic Configuration,Type,PCS Architecture,P002,,Modular preferred,,,,Text,2,NO,Hopewind,Central PCS,,,,,Data Pending
Basic Configuration,Type,PCS Architecture,P002,,Modular preferred,,,,Text,2,NO,Hoymiles,HPCS2500-E-S,,,,,Data Pending
Basic Configuration,Type,PCS Architecture,P002,,Modular preferred,,,,Text,2,NO,Sineng,EH-1250/1725-HC/HB-UD,,,,,Data Pending
Basic Configuration,Type,PCS Architecture,P002,,Modular preferred,,,,Text,2,NO,FIMER,PVS980-58BC 2500kVA,,,,,Data Pending
Basic Configuration,Type,PCS Architecture,P002,,Modular preferred,,,,Text,2,NO,Inovance,IES920-07-2500-C-D-EU,,,,,Data Pending
Basic Configuration,Power,Rated Power,P003,kW,≥ 2500,2500,,2500,Higher_Better,5,YES,Hopewind,Central PCS,2500,,Datasheet,2026-08-01,
Basic Configuration,Power,Rated Power,P003,kW,≥ 2500,2500,,2500,Higher_Better,5,YES,Hoymiles,HPCS2500-E-S,2500,,Datasheet,2026-08-01,
Basic Configuration,Power,Rated Power,P003,kW,≥ 2500,2500,,2500,Higher_Better,5,YES,Sineng,EH-1250/1725-HC/HB-UD,,,,,Data Pending
Basic Configuration,Power,Rated Power,P003,kW,≥ 2500,2500,,2500,Higher_Better,5,YES,FIMER,PVS980-58BC 2500kVA,2500,,Datasheet,2026-08-01,
Basic Configuration,Power,Rated Power,P003,kW,≥ 2500,2500,,2500,Higher_Better,5,YES,Inovance,IES920-07-2500-C-D-EU,2500,,Datasheet,2026-08-01,
Basic Configuration,Power,Maximum Power,P004,kW,≥ 2500,2500,,,Higher_Better,3,NO,Hopewind,Central PCS,,,,,Data Pending
Basic Configuration,Power,Maximum Power,P004,kW,≥ 2500,2500,,,Higher_Better,3,NO,Hoymiles,HPCS2500-E-S,,,,,Data Pending
Basic Configuration,Power,Maximum Power,P004,kW,≥ 2500,2500,,,Higher_Better,3,NO,Sineng,EH-1250/1725-HC/HB-UD,,,,,Data Pending
Basic Configuration,Power,Maximum Power,P004,kW,≥ 2500,2500,,,Higher_Better,3,NO,FIMER,PVS980-58BC 2500kVA,,,,,Data Pending
Basic Configuration,Power,Maximum Power,P004,kW,≥ 2500,2500,,,Higher_Better,3,NO,Inovance,IES920-07-2500-C-D-EU,,,,,Data Pending
Basic Configuration,Power,Continuous Power,P005,kW,≥ 2500,2500,,,Higher_Better,3,NO,Hopewind,Central PCS,,,,,Data Pending
Basic Configuration,Power,Continuous Power,P005,kW,≥ 2500,2500,,,Higher_Better,3,NO,Hoymiles,HPCS2500-E-S,,,,,Data Pending
Basic Configuration,Power,Continuous Power,P005,kW,≥ 2500,2500,,,Higher_Better,3,NO,Sineng,EH-1250/1725-HC/HB-UD,,,,,Data Pending
Basic Configuration,Power,Continuous Power,P005,kW,≥ 2500,2500,,,Higher_Better,3,NO,FIMER,PVS980-58BC 2500kVA,,,,,Data Pending
Basic Configuration,Power,Continuous Power,P005,kW,≥ 2500,2500,,,Higher_Better,3,NO,Inovance,IES920-07-2500-C-D-EU,,,,,Data Pending
Basic Configuration,Config,Modular/Standalone,P006,,Modular,,,,Text,2,NO,Hopewind,Central PCS,,,,,Data Pending
Basic Configuration,Config,Modular/Standalone,P006,,Modular,,,,Text,2,NO,Hoymiles,HPCS2500-E-S,,,,,Data Pending
Basic Configuration,Config,Modular/Standalone,P006,,Modular,,,,Text,2,NO,Sineng,EH-1250/1725-HC/HB-UD,,,,,Data Pending
Basic Configuration,Config,Modular/Standalone,P006,,Modular,,,,Text,2,NO,FIMER,PVS980-58BC 2500kVA,,,,,Data Pending
Basic Configuration,Config,Modular/Standalone,P006,,Modular,,,,Text,2,NO,Inovance,IES920-07-2500-C-D-EU,,,,,Data Pending
Basic Configuration,Config,Number of Power Modules,P007,nos,,,,,Higher_Better,1,NO,Hopewind,Central PCS,,,,,Data Pending
Basic Configuration,Config,Number of Power Modules,P007,nos,,,,,Higher_Better,1,NO,Hoymiles,HPCS2500-E-S,,,,,Data Pending
Basic Configuration,Config,Number of Power Modules,P007,nos,,,,,Higher_Better,1,NO,Sineng,EH-1250/1725-HC/HB-UD,,,,,Data Pending
