chart,vendor,x,y
derate,Hopewind,51,100
derate,Hoymiles,40,110
derate,Hoymiles,51,100
derate,Delta,30,110
derate,Delta,51,100
derate,FIMER,25,100
derate,FIMER,35,97.24
derate,FIMER,50,88.4
derate,Newen,25,110
derate,Newen,35,106
derate,Newen,51,100
derate,Sineng,40,110
derate,Sineng,51,100
derate,Sineng,55,82.24
derate,Inovance,45,110
derate,Inovance,55,100
derate,Sifang,35,110
derate,Sifang,50,100
derate,Kehua,30,110
derate,Kehua,45,100
derate,Kehua,55,50
dcwin,Hopewind,1000,1500
dcwin,Hoymiles,1000,1500
dcwin,Delta,1000,1500
dcwin,FIMER,680,1500
dcwin,Newen,511,1500
dcwin,Sineng,1000,1500
dcwin,Inovance,1000,1500
dcwin,ENERZOLVE,1000,1500
dcwin,Sifang,1000,1500
dcwin,Kehua,1000,1500
overload,Hopewind,1,150
overload,Hopewind,10,120
overload,Hopewind,cont,110
overload,Hoymiles,10,120
overload,Hoymiles,cont,110
overload,Delta,cont,110
overload,Newen,cont,110
overload,Sineng,10,120
overload,Sineng,cont,110
overload,Inovance,10,120
overload,Inovance,cont,110
overload,Sifang,10,120
overload,Sifang,cont,110
overload,Kehua,cont,110
eff_peak,Hopewind,,98.5
eff_euro,Hopewind,,
eff_peak,Hoymiles,,99
eff_euro,Hoymiles,,98.5
eff_peak,Delta,,99
eff_euro,Delta,,98.5
eff_peak,FIMER,,98.8
eff_euro,FIMER,,98.6
eff_peak,Newen,,99.21
eff_euro,Newen,,99.03
eff_peak,Sineng,,99
eff_euro,Sineng,,98
eff_peak,Inovance,,99
eff_euro,Inovance,,98.3
eff_peak,ENERZOLVE,,98.5
eff_euro,ENERZOLVE,,
eff_peak,Sifang,,98.8
eff_euro,Sifang,,
eff_peak,Kehua,,99
eff_euro,Kehua,,
