vendor,junction_temp_c,performance_pct
Hopewind,25,
Hopewind,50,
Hopewind,75,
Hopewind,100,
Hopewind,110,
Hopewind,125,
Hopewind,150,
Hoymiles,25,
Hoymiles,50,
Hoymiles,75,
Hoymiles,100,
Hoymiles,110,
Hoymiles,125,
Hoymiles,150,
Delta,25,
Delta,50,
Delta,75,
Delta,100,
Delta,110,
Delta,125,
Delta,150,
FIMER,25,
FIMER,50,
FIMER,75,
FIMER,100,
FIMER,110,
FIMER,125,
FIMER,150,
Newen,25,
Newen,50,
Newen,75,
Newen,100,
Newen,110,
Newen,125,
Newen,150,
Sineng,25,
Sineng,50,
Sineng,75,
Sineng,100,
Sineng,110,
Sineng,125,
Sineng,150,
Inovance,25,
Inovance,50,
Inovance,75,
Inovance,100,
Inovance,110,
Inovance,125,
Inovance,150,
ENERZOLVE,25,
ENERZOLVE,50,
ENERZOLVE,75,
ENERZOLVE,100,
ENERZOLVE,110,
ENERZOLVE,125,
ENERZOLVE,150,
Sifang,25,
Sifang,50,
Sifang,75,
Sifang,100,
Sifang,110,
Sifang,125,
Sifang,150,
Kehua,25,
Kehua,50,
Kehua,75,
Kehua,100,
Kehua,110,
Kehua,125,
Kehua,150,
