vendor,type,time_ms,voltage_pu
Hopewind,LVRT,0,
Hopewind,LVRT,20,
Hopewind,LVRT,50,
Hopewind,LVRT,100,
Hopewind,LVRT,150,
Hopewind,LVRT,200,
Hopewind,LVRT,300,
Hopewind,LVRT,500,
Hopewind,LVRT,1000,
Hopewind,LVRT,3000,
Hopewind,HVRT,0,
Hopewind,HVRT,20,
Hopewind,HVRT,50,
Hopewind,HVRT,100,
Hopewind,HVRT,150,
Hopewind,HVRT,200,
Hopewind,HVRT,300,
Hopewind,HVRT,500,
Hopewind,HVRT,1000,
Hopewind,HVRT,3000,
Hoymiles,LVRT,0,
Hoymiles,LVRT,20,
Hoymiles,LVRT,50,
Hoymiles,LVRT,100,
Hoymiles,LVRT,150,
Hoymiles,LVRT,200,
Hoymiles,LVRT,300,
Hoymiles,LVRT,500,
Hoymiles,LVRT,1000,
Hoymiles,LVRT,3000,
Hoymiles,HVRT,0,
Hoymiles,HVRT,20,
Hoymiles,HVRT,50,
Hoymiles,HVRT,100,
Hoymiles,HVRT,150,
Hoymiles,HVRT,200,
Hoymiles,HVRT,300,
Hoymiles,HVRT,500,
Hoymiles,HVRT,1000,
Hoymiles,HVRT,3000,
Delta,LVRT,0,
Delta,LVRT,20,
Delta,LVRT,50,
Delta,LVRT,100,
Delta,LVRT,150,
Delta,LVRT,200,
Delta,LVRT,300,
Delta,LVRT,500,
Delta,LVRT,1000,
Delta,LVRT,3000,
Delta,HVRT,0,
Delta,HVRT,20,
Delta,HVRT,50,
Delta,HVRT,100,
Delta,HVRT,150,
Delta,HVRT,200,
Delta,HVRT,300,
Delta,HVRT,500,
Delta,HVRT,1000,
Delta,HVRT,3000,
FIMER,LVRT,0,
FIMER,LVRT,20,
FIMER,LVRT,50,
FIMER,LVRT,100,
FIMER,LVRT,150,
FIMER,LVRT,200,
FIMER,LVRT,300,
FIMER,LVRT,500,
FIMER,LVRT,1000,
FIMER,LVRT,3000,
FIMER,HVRT,0,
FIMER,HVRT,20,
FIMER,HVRT,50,
FIMER,HVRT,100,
FIMER,HVRT,150,
FIMER,HVRT,200,
FIMER,HVRT,300,
FIMER,HVRT,500,
FIMER,HVRT,1000,
FIMER,HVRT,3000,
Newen,LVRT,0,
Newen,LVRT,20,
Newen,LVRT,50,
Newen,LVRT,100,
Newen,LVRT,150,
Newen,LVRT,200,
Newen,LVRT,300,
Newen,LVRT,500,
Newen,LVRT,1000,
Newen,LVRT,3000,
Newen,HVRT,0,
Newen,HVRT,20,
Newen,HVRT,50,
Newen,HVRT,100,
Newen,HVRT,150,
Newen,HVRT,200,
Newen,HVRT,300,
Newen,HVRT,500,
Newen,HVRT,1000,
Newen,HVRT,3000,
Sineng,LVRT,0,
Sineng,LVRT,20,
Sineng,LVRT,50,
Sineng,LVRT,100,
Sineng,LVRT,150,
Sineng,LVRT,200,
Sineng,LVRT,300,
Sineng,LVRT,500,
Sineng,LVRT,1000,
Sineng,LVRT,3000,
Sineng,HVRT,0,
Sineng,HVRT,20,
Sineng,HVRT,50,
Sineng,HVRT,100,
Sineng,HVRT,150,
Sineng,HVRT,200,
Sineng,HVRT,300,
Sineng,HVRT,500,
Sineng,HVRT,1000,
Sineng,HVRT,3000,
Inovance,LVRT,0,
Inovance,LVRT,20,
Inovance,LVRT,50,
Inovance,LVRT,100,
Inovance,LVRT,150,
Inovance,LVRT,200,
Inovance,LVRT,300,
Inovance,LVRT,500,
Inovance,LVRT,1000,
Inovance,LVRT,3000,
Inovance,HVRT,0,
Inovance,HVRT,20,
Inovance,HVRT,50,
Inovance,HVRT,100,
Inovance,HVRT,150,
Inovance,HVRT,200,
Inovance,HVRT,300,
Inovance,HVRT,500,
Inovance,HVRT,1000,
Inovance,HVRT,3000,
ENERZOLVE,LVRT,0,
ENERZOLVE,LVRT,20,
ENERZOLVE,LVRT,50,
ENERZOLVE,LVRT,100,
ENERZOLVE,LVRT,150,
ENERZOLVE,LVRT,200,
ENERZOLVE,LVRT,300,
ENERZOLVE,LVRT,500,
ENERZOLVE,LVRT,1000,
ENERZOLVE,LVRT,3000,
ENERZOLVE,HVRT,0,
ENERZOLVE,HVRT,20,
ENERZOLVE,HVRT,50,
ENERZOLVE,HVRT,100,
ENERZOLVE,HVRT,150,
ENERZOLVE,HVRT,200,
ENERZOLVE,HVRT,300,
ENERZOLVE,HVRT,500,
ENERZOLVE,HVRT,1000,
ENERZOLVE,HVRT,3000,
