vendor,p_pct,q_lead_pct,q_lag_pct
Hopewind,0,,
Hopewind,10,,
Hopewind,20,,
Hopewind,30,,
Hopewind,40,,
Hopewind,50,,
Hopewind,60,,
Hopewind,70,,
Hopewind,80,,
Hopewind,90,,
Hopewind,100,,
Hoymiles,0,,
Hoymiles,10,,
Hoymiles,20,,
Hoymiles,30,,
Hoymiles,40,,
Hoymiles,50,,
Hoymiles,60,,
Hoymiles,70,,
Hoymiles,80,,
Hoymiles,90,,
Hoymiles,100,,
Delta,0,,
Delta,10,,
Delta,20,,
Delta,30,,
Delta,40,,
Delta,50,,
Delta,60,,
Delta,70,,
Delta,80,,
Delta,90,,
Delta,100,,
FIMER,0,,
FIMER,10,,
FIMER,20,,
FIMER,30,,
FIMER,40,,
FIMER,50,,
FIMER,60,,
FIMER,70,,
FIMER,80,,
FIMER,90,,
FIMER,100,,
Newen,0,,
Newen,10,,
Newen,20,,
Newen,30,,
Newen,40,,
Newen,50,,
Newen,60,,
Newen,70,,
Newen,80,,
Newen,90,,
Newen,100,,
Sineng,0,,
Sineng,10,,
Sineng,20,,
Sineng,30,,
Sineng,40,,
Sineng,50,,
Sineng,60,,
Sineng,70,,
Sineng,80,,
Sineng,90,,
Sineng,100,,
Inovance,0,,
Inovance,10,,
Inovance,20,,
Inovance,30,,
Inovance,40,,
Inovance,50,,
Inovance,60,,
Inovance,70,,
Inovance,80,,
Inovance,90,,
Inovance,100,,
ENERZOLVE,0,,
ENERZOLVE,10,,
ENERZOLVE,20,,
ENERZOLVE,30,,
ENERZOLVE,40,,
ENERZOLVE,50,,
ENERZOLVE,60,,
ENERZOLVE,70,,
ENERZOLVE,80,,
ENERZOLVE,90,,
ENERZOLVE,100,,
