vendor,ambient_c,power_pct
Hopewind,-25,
Hopewind,10,
Hopewind,25,
Hopewind,30,
Hopewind,35,
Hopewind,40,
Hopewind,45,
Hopewind,50,
Hopewind,55,
Hopewind,60,
Hoymiles,-25,
Hoymiles,10,
Hoymiles,25,
Hoymiles,30,
Hoymiles,35,
Hoymiles,40,
Hoymiles,45,
Hoymiles,50,
Hoymiles,55,
Hoymiles,60,
Delta,-25,
Delta,10,
Delta,25,
Delta,30,
Delta,35,
Delta,40,
Delta,45,
Delta,50,
Delta,55,
Delta,60,
FIMER,-25,
FIMER,10,
FIMER,25,
FIMER,30,
FIMER,35,
FIMER,40,
FIMER,45,
FIMER,50,
FIMER,55,
FIMER,60,
Newen,-25,
Newen,10,
Newen,25,
Newen,30,
Newen,35,
Newen,40,
Newen,45,
Newen,50,
Newen,55,
Newen,60,
Sineng,-25,
Sineng,10,
Sineng,25,
Sineng,30,
Sineng,35,
Sineng,40,
Sineng,45,
Sineng,50,
Sineng,55,
Sineng,60,
Inovance,-25,
Inovance,10,
Inovance,25,
Inovance,30,
Inovance,35,
Inovance,40,
Inovance,45,
Inovance,50,
Inovance,55,
Inovance,60,
ENERZOLVE,-25,
ENERZOLVE,10,
ENERZOLVE,25,
ENERZOLVE,30,
ENERZOLVE,35,
ENERZOLVE,40,
ENERZOLVE,45,
ENERZOLVE,50,
ENERZOLVE,55,
ENERZOLVE,60,
