vendor,dc_min_v,power_pct
Hopewind,551,
Hopewind,643,
Hopewind,736,
Hopewind,822,
Hopewind,1038,
Hopewind,1196,
Hopewind,1500,
Hoymiles,551,
Hoymiles,643,
Hoymiles,736,
Hoymiles,822,
Hoymiles,1038,
Hoymiles,1196,
Hoymiles,1500,
Delta,551,
Delta,643,
Delta,736,
Delta,822,
Delta,1038,
Delta,1196,
Delta,1500,
FIMER,551,
FIMER,643,
FIMER,736,
FIMER,822,
FIMER,1038,
FIMER,1196,
FIMER,1500,
Newen,551,
Newen,643,
Newen,736,
Newen,822,
Newen,1038,
Newen,1196,
Newen,1500,
Sineng,551,
Sineng,643,
Sineng,736,
Sineng,822,
Sineng,1038,
Sineng,1196,
Sineng,1500,
Inovance,551,
Inovance,643,
Inovance,736,
Inovance,822,
Inovance,1038,
Inovance,1196,
Inovance,1500,
ENERZOLVE,551,
ENERZOLVE,643,
ENERZOLVE,736,
ENERZOLVE,822,
ENERZOLVE,1038,
ENERZOLVE,1196,
ENERZOLVE,1500,
