section,no,parameter,requirement,Hopewind,Hoymiles,Delta,"FIMER
(PVS980-58BC, 2500 kVA)","Newen
(CPS 1500/3000_260817-R0)","Sineng
(EH-1250-HC-UD / EH-1725-HB-UD)","Inovance
(IES920-07-2500-C-D-EU)",ENERZOLVE,"Sifang
(CSD-5831, 2500 kVA)"
Performance Envelope,1,Peak efficiency,≥ 99.0 %,98.5,99,99,98.8,99.21,99,99,98.5,98.8%
Performance Envelope,2,Euro / CEC efficiency,≥ 98.5 %,NA,98.5,98.5,98.6,99.03,98,98.3,NA,NA
Performance Envelope,3,Power factor range,0.9 lead – 0.89 lag,-1 to +1,-1 to +1,~-0.89 to +0.9,-1 to +1,-1 to +1,-1 to +1,~-0.89 to +0.9,-1 to +1,-1 to +1
Performance Envelope,4,Response time (P/Q),< 50 ms,30,50,150,NA,50,50,50,NA,≤20 ms
Performance Envelope,5,Grid-forming step response,< 5 ms,200,5,NA,NA,5,5,NA,NA,NA
Performance Envelope,6,Design / service life,~ 15 - 20 years,20,20,20,25,20,25,20,20,≥25 years
Product Range,7,String PCS,50 – 250 kW,NA,NA,NA,NA,NA,NA,400kW and 430kW,NA,NA
Product Range,8,Modular PCS,250 kW – 1.5 MW,NA,,Base model Capacity - 1.1MW and 1.25MW,NA,NA,NA,"400kW,430kW and 432kW",NA,2 × 1.25 MW battery branches
Product Range,9,Central PCS,1.5 – 5 MW,2.5MW @50 deg,2.5MVA,"By paralleling the modular PCS, total capacity can be enhanced upto 6.25MW",869–5000 kVA range (2028–2210 kVA @50°C for 2500-L),0.69MW~1.59MW/1.39MW~3.18MW,"1 - EH-1250-HC-UD
2 - EH-1725-HB-UD",1.5 – 5 MW,1.5 – 5 MW,CSD-5831: 2500 kVA; 2500 kVA @50°C; 2750 kVA @35°C
Product Range,10,Redundancy,N+1 at utility scale,Yes,NA,Yes,NA,Yes,Yes,Yes,Yes,NA
AC Interface,11,Nominal AC voltage,400 V / 690 V,690 V,690V,Modular PCS - 690VAC,480 / 520 / 560 / 600 / 630 / 660 / 690 V,350~800Vac ± 10%,607~759V,690Vac,690V,690 V
AC Interface,12,Frequency,50 / 60 Hz ± configurable,50Hz,50 / 60 Hz ± configurable,50Hz,50/60 Hz (±10 Hz),50/60Hz ± 10%,50Hz/ 45~55Hz,50 / 60 Hz ± configurable,50/60,50 Hz; grid frequency range 45–55 Hz
AC Interface,13,THD (current),< 3 % at rated power,<3%,<3%,<3%,< 3 %,<3%,<3%,<3%,<3%,<3% at nominal power
AC Interface,14,DC injection,< 0.5 % of rated current,0.5% of rated current,0.5% of rated current,0.5% of rated current,NA,0.5% of rated current,< 0.5 % of rated current,0.5% of rated current,0.5% of rated current,DC-component protection stated; numerical DC injection limit not stated
AC Interface,15,Overload capability,110 % continuous; 120 % for 60 s,"110% long term,120 for 10 sec,150% for 1sec",110 % continuous; 120 % for 60 s,Complied 110% continuous at 30°C.,Not specified in datasheet,110% for 10sec,110 % for 10 mins ; 120 % for 2 mins,110 % continuous; 120 % for 60 s,To be confirmed.,110% continuous; 120% for 1 min (35°C); full load supported at 50°C
DC Interface,16,DC voltage window,600 – 1500 V,1000-1500 V DC,1000-1500,1000V - 1500VDC,680–1500 V (Umax 1500 V),511-1500Vdc,1000 - 1500 Vdc,1000-1500V,1000-1500V,1000–1500 Vdc; max DC voltage 1500 V
DC Interface,17,Insulation monitoring,Continuous,NA,Continuous,Continuous,Not specified in datasheet,Optional,Continuous,Continuous,To be confirmed.,Continuous
DC Interface,18,DC precharge / softstart,Standard,Standard,Standard,Standard,Not specified in datasheet,Standard,Standard,Standard,Standard,NA
DC Interface,19,Reverse-polarity protection,Mandatory,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Mechanical,20,Ingress protection,"IP54, IP65 optional",IP 66,IP65,IP65,IP65 electronics / IP55 rest; Type 3R,IP65 Outdoor,IP65 complied,IP65,IP54,IP65
Mechanical,21,Corrosion class,C4 standard; C5-M optional,C5,C4,C4,NA,C5,C4,C4,C4,Anti-corrosion treatment stated; corrosion class not stated
Mechanical,22,Seismic qualification,IEEE 693 or equivalent,Certification N/A,NA,Yes,NA,Yes,NA,Yes,Yes,Shock/vibration/seismic-strength requirements stated; formal seismic qualification not stated
Thermal,23,Ambient (full power target),≥ 50 °C without derating,2.5MW @50 deg,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes – full load at 50°C
Thermal,24,Max ambient (operational),− 20 °C to + 60 °C,-40 to +60 deg,− 20 °C to + 60 °C,− 20 °C to + 60 °C,− 20 °C to + 60 °C,-25°C to 60°C (>51°C de-rated),-40~60degC,-40 °C to + 60 °C,~ -30 C to +60 C,-35°C to +60°C; derating >50°C
Thermal,25,Cooling method,Forced air / liquid per class,Liquid cooled,Liquid cooling,Complied,"Patented self-contained thermosyphon (liquid-cooled ratings, air-cooling simplicity)",Forced Air,advanced 2 phase + forced air cooling,Air-liquid cooling,Intelligent/forced air (hybrid) cooling,Intelligent forced-air cooling
Thermal,26,Filter / maintenance,"Tool-free, long interval",N/A for air filter,As per site condition,"Tool free, interval 1 month","Low maintenance, no fillable liquids/pumps/valves",Yes,complied,Complied,Not met,Not stated
Thermal,27,Cooling redundancy,Fan N+1 at utility scale,"N/A, only possible for extra spare part",No redundancy,Not Available,Not specified in datasheet,Adequate,Yes,Will have one spare Fan on site,Not met,Not stated
Thermal,28,Altitude,Up to 3000 m with derating,4000 mtr,up to 5000 mts,Complied,"4000 m (2000 m std, 4000 m option)",Up to 4000mts (>2000mts de-rated),5000m （>3000 m derating）,Complied,Rated to 4000 m (derating above 2000 m),5000 m; derating >3000 m
Environmental,29,Ambient temp,− 20 °C to + 60 °C,-40 to +60 deg,Complied,Complied,−20 … +60 °C,-25°C to 60°C (>51°C de-rated),-40~60degC,-40 °C to + 60 °C,~ -30 C to +60 C,-35°C to +60°C
Environmental,30,Humidity,0 – 100 % condensing (protected),4-100%,Complied,"Complied with 0% to 100% RH, non-condensing",4 … 100 %,0~95% Non-condensing - Standard (Up to 100% optional),0-100%,Complied,To be confirmed.,"0–100% RH, non-condensing"
Environmental,31,Pollution / dust,High-dust capable,Complied,Complied,Complied,Sand test certified / dust proof outdoor enclosure,Yes,30PPI dustproof cotton,Complied,IP54,Dust/wind/sand protection stated; numerical dust class not stated
Battery Compatibility,32,Chemistry,LFP primary & Na-ion capable,"LFP,Li",Complied,Complied,Battery DC input (chemistry-agnostic),Yes,complied,,Complied,Battery chemistry not stated
Battery Compatibility,33,Voltage window,600 – 1500 V DC configurable,1000-1500  V DC,1000-1500,Complied with 1000V - 1500VDC,680–1500 V DC,511~1500Vdc,1000 - 1500 Vdc,,Complied,1000–1500 Vdc
Battery Compatibility,34,BMS interface,CAN / Modbus / open protocol,CAN / Modbus,CAN/Modbus,NA,Not specified in datasheet (via I/O),Modbus TCP/IP,CAN,,CAN / Modbus / Ethernet,CAN available; BMS-specific interface/protocol not explicitly stated
Battery Compatibility,35,Charge control,"CC-CV, CP",CC - CV - CP,EMS should send command to PCS,Complied,Controlled by external control system,Yes,complied,,Complied,"Constant-voltage, constant-current and constant-power charge/discharge"
Communication,36,Modbus TCP/RTU,Mandatory,Compllied,Complied,Complied,Modbus,Modbus TCP/IP,complied,Complied,Modbus-RTU and Modbus-TCP supported.,Modbus supported
Communication,37,IEC 61850,Mandatory (utility),Complied,Complied,NA,Not specified in datasheet,Not mandatory for PCS,Complied as per IEC 104 and TCP -IP,Complied,Complied,IEC 61850 supported
Communication,38,DNP3,Recommended,NA,NA,NA,Not specified in datasheet,Not mandatory for PCS,"2. PCS to EMS/SCADA/any master:
Modbus TCP/IP （RJ 45 port, CAT 6 cable）
Modbus RTU （RS485 port, twisted pair cable)",Not available,Not available,NA – DNP3 not stated
EMS / SCADA,39,Control interface,"P/Q setpoints, ramp, mode change remotely",Complied through EMS,Complied,Complied,Active/reactive power controlled by external control system,Comply,"2. PCS to EMS/SCADA/any master:
Modbus TCP/IP （RJ 45 port, CAT 6 cable）
Modbus RTU （RS485 port, twisted pair cable)",,Comply,"RS485, Ethernet, CAN, dry-contact interfaces"
EMS / SCADA,40,Applications,"Peak shaving, arbitrage, freq. regulation, RE smoothing",Complied,Complied,Complied,"Peak shaving, grid support, RE smoothing (BESS applications)",Comply,can be discussed during detailed engineering,,Comply,"Peak shaving, frequency regulation, peak shaving/valley filling, island operation"
